paper_id,region,first_author,year,doi,paper_category,citations,depletion_claim,claim_sign,classifier_method
207,igp,Vasaw Tripathi,2022,10.5194/hess-26-4515-2022,own-SHM,8,GRACE trend value of -7.6±0.6 Gt yr−1,depleting,regex
208,igp,Mohd Sayeed Ul Hasan,2023,10.3390/su15021572,mascon,8,average declining rate of yearly terrestrial water storage data ... is −0.0075 m (−0.75 cm/year) from 2002 to 2020,depleting,regex
209,igp,Anil Kumar Singh,2021,10.1007/978-3-030-67932-3_11,downstream-use,7,groundwater mean depletion thickness over Haryana was found 1.13 cm and for Punjab is 0.92 cm during 2005–2015,depleting,regex
210,igp,Claire Pascal,2022,10.5194/hess-2022-39,mascon,6,,,empty
211,igp,Ahmed Mohamed,2023,10.3389/feart.2023.1227691,mascon,6,groundwater depletion of −1.212 ± 0.012 cm/yr,depleting,regex
212,igp,Shubham Awasthi,2023,10.5194/isprs-archives-xlviii-1-w2-2023-1319-2023,mascon,6,extreme decline in groundwater storage levels,depleting,regex
213,igp,Haris Hasan Khan,2012,10.1007/s12517-012-0629-z,downstream-use,6,a definite trend of total water depletion,depleting,regex
214,igp,Sandip Kumar Rana,2024,10.1080/02626667.2024.2403720,mascon,5,maximum ~ -6.6 cm/year GWS decline in Haryana,depleting,regex
215,igp,Pragay Shourya Moudgil,2024,10.1007/s11053-024-10312-w,mascon,4,significant groundwater depletion in the northern and northwestern river basins,depleting,regex
216,igp,S.K. Sen,2024,10.1007/s10661-024-13174-0,mascon,4,,,empty
217,igp,Abhinav Galodha,2023,10.5194/isprs-archives-xlviii-m-3-2023-95-2023,downstream-use,4,,,empty
218,igp,Mohd Sayeed Ul Hasan,2024,10.2166/ws.2024.173,downstream-use,4,increasing trend of drought over the study period,depleting,manual-override
219,igp,Ritesh Agrawal,2014,10.5194/isprsarchives-xl-8-329-2014,mascon,3,Ganga and Brahmaputra basins have shown an average annual change of -1.28 cm and -1.06 cm in terms of WEH,depleting,regex
221,igp,Madhumita Sahoo,2018,10.1061/(asce)he.1943-5584.0001670,downstream-use,3,,,empty
222,igp,Kancharla Nitish Sai,2023,10.5194/isprs-archives-xlviii-1-w2-2023-1265-2023,downstream-use,2,,,empty
223,igp,Shekhar Singh,2020,10.47884/jweam.v1i3pp26-32,downstream-use,2,,,empty
224,igp,Shubham Awasthi,2023,10.1109/igarss52108.2023.10283323,downstream-use,1,,,empty
225,igp,Yanping Cao,2025,10.1007/s11356-025-37274-7,mascon,1,"groundwater depletion across India, particularly in the northern plains, with summer decline of -6.52 mm/year and winter -5.46 mm/year",depleting,regex
226,igp,Suraj Dule,2026,10.2139/ssrn.6215477,mascon,0,"regional mean depletion was -0.65 cm/year, specific agricultural hotspots lost water at rates exceeding -2.05 cm/year",depleting,regex
227,igp,Aum Upadhyay,2026,10.1016/j.rsase.2026.101929,mascon,0,,,empty
228,igp,Bingshi Liu,2020,10.5194/egusphere-egu2020-6125,downstream-use,0,anthropogenic depletion rate in Indus Plain increased from -5.5 to -25.0 km3/yr (2003-2011) and stabilized at ~-26.0 km3/yr (2011-2016); Ganges Plain slowed from -37.7 to -12.0 km3/yr (2003-2011) then increased to -20.0 km3/yr (2016),depleting,manual-override
230,igp,Vihaan Singla,2026,10.21275/sr251028130626,downstream-use,0,northwestern India exhibiting persistent negative TWS anomalies (-30 to -40 cm) indicating severe water depletion,depleting,regex
231,igp,Subimal Nandi,2026,10.1007/s12665-026-12891-8,mascon,0,"UGB and YCB exhibit the sharpest declines of -2.622 cm/year and -2.116 cm/year, respectively",depleting,regex
232,igp,Ravi Ande,2025,10.3808/jeil.202400163,downstream-use,0,6.98-meter drop in groundwater levels,depleting,regex
233,igp,Yahya Sattar,2021,10.1109/icassp39728.2021.9413591,own-SHM,0,groundwater depletion on average over the time period,depleting,regex
234,igp,Alexandra Klemme,2023,10.5194/hess-2023-37,downstream-use,0,sediment transport accounts for (4±2)% of the gravity decrease that is currently attributed to groundwater depletion,depleting,regex
235,igp,Alexandra Klemme,2023,10.5194/hess-2023-37-rc2,downstream-use,0,sediment transport accounts for (4 ± 2) % of the gravity decrease currently attributed to groundwater depletion,depleting,regex
236,igp,Alexandra Klemme,2023,10.5194/hess-2023-37-ac1,downstream-use,0,,,empty
237,igp,Alexandra Klemme,2023,10.5194/hess-2023-37-ac2,downstream-use,0,,,empty
238,igp,Alexandra Klemme,2024,10.5194/hess-28-1527-2024,downstream-use,0,sediment transport accounts for (4 ± 2) % of the gravity decrease currently attributed to groundwater depletion,depleting,regex
240,igp,Shubham Rajewar,2026,10.1029/2025jb032730,downstream-use,0,groundwater depletion in NW India causing uplift up to 4.2 mm/yr,depleting,regex
241,indus,Jianli Chen,2014,10.1016/j.gloplacha.2014.02.007,own-SHM,270,20.4 ± 7.1 Gt/yr over 2003-2012,depleting,regex
242,indus,Longwei Xiang,2016,10.1016/j.epsl.2016.06.002,own-SHM,189,GWS increasing trend rates for eight basins and decreasing trends for four regions,mixed,regex
243,indus,D. K. Panda,2015,10.1002/2015wr017797,own-SHM,164,GWS depletion at the rate of 1.25 and 2.1 cm yr-1 respectively in the Ganges Basin and Punjab state,depleting,regex
244,indus,Fanchong Meng,2019,10.1029/2018jd029552,mascon,158,TWS depletion in the UB was mostly due to glacier mass loss,depleting,regex
245,indus,Shoaib Ali,2021,10.3390/rs13173513,downstream-use,127,lost GWS of about -9.54 ± 1.27 km3 at the rate of -0.68 ± 0.09 km3/year from 2003 to 2016,depleting,manual-override
246,indus,Vimal Mishra,2018,10.1029/2018ef000939,downstream-use,121,total estimated groundwater depletion in India is in the range of 122 to 199 billion m3,depleting,regex
247,indus,Shoaib Ali,2023,10.3390/rs15040873,downstream-use,113,TWSA declined at a rate of -3.25 mm/year between 2003 and 2016,depleting,regex
248,indus,Arfan Arshad,2022,10.1016/j.scitotenv.2022.156044,own-SHM,91,total loss of groundwater reserves varied in the IIB's 55 canal command areas with the highest loss observed in Dehli Doab by >50 km3,depleting,regex
249,indus,Shoaib Ali,2022,10.1016/j.jhydrol.2022.128295,downstream-use,90,groundwater depletion trend of -3.39 ± 0.45 mm/year,depleting,regex
250,indus,Shoaib Ali,2021,10.1016/j.jhydrol.2021.127315,mascon,84,4.16 ± 0.26 mm per year (2.97 ± 0.19 km3 per year),depleting,manual-override
251,indus,Naveed Iqbal,2016,10.1109/jstars.2016.2574378,own-SHM,65,groundwater is declining at a mean rate of about 13.5 mm per year in equivalent height of water during 2003–2010,depleting,regex
252,indus,Fazlullah Akhtar,2021,10.1016/j.jhydrol.2021.127369,downstream-use,61,"mean annual depletion in GWSA of −304.2 ± 749 and −301 ± 527 mm at the LBDC and the KRB, respectively",depleting,regex
253,indus,Yu Zhu,2021,10.1016/j.scitotenv.2021.149366,mascon,56,TWS decreased at a rate of 0.57 ± 1.02 mm/month from 2002 to 2020,depleting,regex
254,indus,Naveed Iqbal,2017,10.1007/s10661-017-5846-1,own-SHM,51,groundwater storage is depleted at an average rate of about 0.38 km3/year in Bari and about 0.21 km3/year in the Rechna doab from 2003 to 2010,depleting,regex
255,indus,Aqil Tariq,2023,10.1016/j.gsd.2023.100990,mascon,46,GWS indicated a harsh declining trend of −7.83 ± 0.52 mm/month from 2003 to 2021 in CKRB,depleting,regex
256,indus,Shivam Rawat,2022,10.1038/s41598-022-18511-2,mascon,41,TWS is depleting for most of the subbasins in India,depleting,regex
257,indus,Arfan Arshad,2024,10.1029/2023wr035882,mascon,37,"TWS and GWS decline rate between 2002 and 2023: Dehli Doab (−442, −585 mm/year), BIST Doab (−367, −556 mm/year), Rajasthan (−242, −381 mm/year), and BARI (−188, −333 mm/year)",depleting,regex
258,indus,D. K. Panda,2020,10.1002/hyp.14003,mascon,34,groundwater storage loss in northern India has increased rapidly from 17 km3 to 189 km3 between the pre-2002 and 2002–2013 periods,depleting,manual-override
259,indus,Dostdar Hussain,2020,10.1109/access.2020.2984794,own-SHM,28,negative trends of -4.47 ± 0.38 mm/year (SH) and -4.81 ± 0.49 mm/year (MSC),depleting,regex
260,indus,Gulraiz Akhter,2021,10.3390/su13179686,own-SHM,26,overall depletion trend in groundwater storage captured by GRACE in all four doabs,depleting,regex
261,indus,Muhammad Abdus Salam,2020,10.26480/bdwre.01.2020.13.18,downstream-use,24,net loss in groundwater storage is at mean rate of 85.01 mm per year,depleting,regex
262,indus,Jaydeo K. Dharpure,2025,10.1029/2024wr038279,mascon,18,annual GWSA decreases −1.27 cm/yr,depleting,regex
263,indus,Kashif Mehmood,2022,10.3390/w14203254,downstream-use,16,"groundwater declined from January 2003 to December 2016, with an overall decreasing trend of 0.44 mm per month",depleting,regex
264,indus,Adeel Ahmad Nadeem,2023,10.1016/j.agwat.2023.108545,mascon,15,potential savings of 81% (equivalent to 155 million m3) of groundwater during the dry season,no-sign,manual-override
266,indus,Mohit Arora,2022,10.1007/s41101-022-00169-6,downstream-use,9,TWS from +17.4 to -28.8 cm and GWS from +18.1 to -30.2 cm,depleting,regex
267,indus,Vasaw Tripathi,2022,10.5194/hess-26-4515-2022,own-SHM,8,GRACE trend value of −7.6 ± 0.6 Gt yr−1,depleting,regex
268,indus,Indira Bose,2021,10.1029/2020wr028654,mascon,7,85% (80 million m3) of groundwater per dry season for irrigation districts of Northern India and 87% (or 150 million m3) per year for irrigation districts of Eastern Pakistan,no-sign,manual-override
269,indus,Lilu Cui,2023,10.3390/rs15184469,own-SHM,6,,,empty
270,indus,Ritesh Agrawal,2014,10.5194/isprsarchives-xl-8-329-2014,mascon,3,Ganga and Brahmaputra basins have shown an average annual change of -1.28 cm and -1.06 cm in terms of WEH,depleting,regex
271,indus,Gaurang Mistry,2019,10.1061/9780784482322.011,mascon,3,groundwater storage in the district is depleting at a rate of 0.51 mm per month leading to a total volumetric loss of 1.38 km3 in 13 years,depleting,regex
272,indus,Arfan Arshad,2022,10.2139/ssrn.4044453,downstream-use,3,total loss of groundwater reserves varied in the IIB's 55 canal command areas with the highest loss observed in Dehli Doab by >50 km3,depleting,regex
273,indus,Hamid Gulzar,2025,10.1016/j.rsase.2025.101639,mascon,2,"rapid decline in groundwater storage, particularly in Cell B (−0.77 tau) of the JPL Mascon dataset",depleting,regex
274,indus,Aftab Haider Khan,2025,10.1016/j.agwat.2025.110017,mascon,2,"long-term depletion trends in all CCAs, with the steepest declines in CCA7 and CCA8",depleting,regex
275,indus,Gaurang Mistry,2020,10.34917/15778507,mascon,1,Punjab province has observed the highest loss in total volume of groundwater storage (28.2 km3),depleting,regex
276,indus,Shoaib Ali,2020,10.22541/au.160861850.04202692/v1,downstream-use,1,groundwater storage is being depleted at a rate of 4.16 mm per year (2.97 km3 per year),depleting,regex
277,indus,Yahya Sattar,2020,10.48550/arxiv.2010.12175,own-SHM,1,groundwater depletion on average over the time period,depleting,regex
278,indus,Pamir Khan,2023,10.1109/icosst60641.2023.10414232,downstream-use,1,groundwater level is declining at a pace of 2 to 3 m per year,depleting,regex
279,indus,Yahya Sattar,2021,10.1109/icassp39728.2021.9413591,own-SHM,0,groundwater depletion on average over the time period from 2005 to 2015,depleting,regex
280,indus,Li Huang,2021,10.1002/essoar.10508130.1,downstream-use,0,groundwater storage depletion averaged ~5cm in equivalent water thickness basin-wide over 20 years,depleting,regex
281,indus,Muhammad Hannan,2024,10.21203/rs.3.rs-3864359/v1,mascon,0,significant decline in groundwater storage over the last decade,depleting,regex
282,indus,Alexander Prusevich,2025,10.3389/feart.2025.1551218,mascon,0,"TWS declines in the Indus and Ganges watersheds are primarily driven by the depletion of aquifers (67% and 76%, respectively)",depleting,regex
283,indus,Muhammad Hassan Ali,2025,10.3390/hydrology12120330,downstream-use,0,"groundwater levels declined at 0.52 m/year on average, accelerating to 0.73 m/year after 2014, with total storage losses exceeding 320 mm/year",depleting,regex
284,indus,Aftab Haider Khan,2026,10.1016/j.ejrh.2026.103278,mascon,0,annual groundwater storage loss of 6480.4 million m³ over 16 years (WAPDA) and 6431.7 million m³ (GRACE downscaled),depleting,regex
285,indus,Vasaw Tripathi,2022,10.5194/hess-2022-43-ac2,own-SHM,0,,,empty
286,indus,Vasaw Tripathi,2022,10.5194/hess-2022-43-ac1,downstream-use,0,,,empty
287,indus,Arfan Arshad,2024,10.22541/essoar.173395770.08839790/v1,downstream-use,0,"Dehli Doab (-437, -457 mm/year), BIST Doab (-348, -410 mm/year), Rajasthan (-266, -286 mm/year), and Ravi (-190, -278 mm/year)",depleting,regex
288,indus,A. A. Prusevich (22186513),2025,10.3389/feart.2025.1551218.s002,mascon,0,"TWS declines in the Indus and Ganges watersheds are primarily driven by the depletion of aquifers (67% and 76%, respectively)",depleting,regex
289,indus;north_china_plain,Yujin Zeng,2016,10.1175/jcli-d-16-0209.1,downstream-use,80,groundwater depletion in northern India and Pakistan,depleting,regex
291,mississippi,Matthew Rodell,2006,10.1007/s10040-006-0103-7,own-SHM,699,,,empty
292,mississippi,Benjamin F. Zaitchik,2008,10.1175/2007jhm951.1,downstream-use,489,,,empty
293,mississippi,Xitian Cai,2013,10.1002/2013jd020792,downstream-use,225,,,empty
294,mississippi,T. H. Syed,2005,10.1029/2005gl024851,own-SHM,209,,,empty
295,mississippi,Ashraf Rateb,2020,10.1029/2020wr027556,mascon,170,total GWS decline of −90 km3 over 15 yr in southwestern and south-central U.S. aquifers,depleting,regex
297,mississippi,Susanna Werth,2010,10.5194/hess-14-59-2010,own-SHM,118,,,empty
299,mississippi,Bridget R. Scanlon,2021,10.1088/1748-9326/ac16ff,mascon,76,Marked storage depletion in the semi-arid southwestern Central Valley and south-central High Plains totaled ∼90 km3,depleting,regex
300,mississippi,Mehdi Khaki,2020,10.1038/s41598-020-75710-5,own-SHM,66,,,empty
302,mississippi,Qiujie Chen,2019,10.1029/2018jb016596,own-SHM,45,,,empty
304,mississippi,Qian Cao,2019,10.1029/2018wr023278,downstream-use,31,,,empty
305,mississippi,Sarva T. Pulla,2023,10.3390/rs15092247,mascon,20,,,empty
306,mississippi,S. M. Klosko,2009,10.1007/s00190-009-0301-x,own-SHM,18,,,empty
307,mississippi,Johanna Engström,2021,10.2166/wp.2021.039,mascon,16,11.6 km3,no-sign,manual-override
308,mississippi,Ye-Hong Chen,2023,10.1016/j.ejrh.2023.101342,downstream-use,11,overall estimated groundwater storage changes of the SHAS in the CAGCD are close to zero in the past two decades,stable,manual-override
309,mississippi,Zahra Ghaffari,2023,10.3390/s23146428,mascon,9,water depletion in the central Mississippi Delta area,depleting,regex
310,mississippi,Susanna Werth,2009,10.5194/hessd-6-4813-2009,own-SHM,9,,,empty
311,mississippi,Padmanava Dash,2024,10.3390/rs16224285,downstream-use,5,"Lower Mississippi region experienced the fastest groundwater decline, with a Sen's slope of −0.07 cm/year",depleting,regex
312,mississippi,Lucas J. Heintzman,2024,10.3390/hydrology11110186,mascon,4,,,empty
313,mississippi,Rolf H. Reichle,2008,,own-SHM,3,,,empty
314,mississippi,Ali Levent Yağcı,2018,,downstream-use,1,severe-to-exceptional groundwater and soil moisture depletion,depleting,regex
316,mississippi,S. M. Jones,2022,10.5194/isprs-archives-xlvi-m-2-2022-131-2022,downstream-use,1,,,empty
317,mississippi,Zahra Ghaffari,2025,10.3390/limnolrev25030039,mascon,1,significant groundwater depletion in the central Mississippi Delta,depleting,regex
318,mississippi,Ashraf Rateb,2026,10.1029/2025ef006653,mascon,0,GRACE-based TWSA indicates net losses of 85 ± 15 km3 since 2002 in the arid western MRB–TX,depleting,regex
319,mississippi,S. M. Klosko,2006,,own-SHM,0,,,empty
320,mississippi,Nicholas Schuler,2022,10.31390/gradschool_theses.5513,mascon,0,,,empty
321,mississippi,Md Nasrat Jahan,2026,10.3390/rs18111680,mascon,0,overall declining trend in water storage; western CLAS depletion rates of -0.30 and -0.17 cm/year,depleting,regex
322,murray,Marc Leblanc,2009,10.1029/2008wr007333,own-SHM,381,total water loss of ~140 km3 between August 2002 and December 2006,depleting,regex
323,murray,Maike Schumacher,2017,10.1016/j.rse.2017.10.029,own-SHM,145,groundwater loss of about 104 km3 during 2003-2007,depleting,regex
324,murray,Gavan McGrath,2011,10.1029/2011gl050263,downstream-use,85,Total continental water loss ... of the order of 430 km3 for this period,depleting,regex
325,murray,Albert I. J. M. van Dijk,2011,10.1029/2011wr010714,downstream-use,74,a decrease of 7–8 mm yr⁻¹ (50–60 km³ yr⁻¹) was estimated from GRACE,depleting,regex
326,murray,Daniel Rieser,2010,10.1080/08120099.2010.512645,own-SHM,61,significant decrease in water storage in the southeast of Australia,depleting,regex
327,murray,Valentin Heimhuber,2019,10.1016/j.jag.2019.101927,downstream-use,18,,,empty
328,murray,Nicholas Brown,2010,10.1080/08120091003619241,own-SHM,17,,,empty
329,murray,Maike Schumacher,2016,,own-SHM,15,,,empty
330,murray,Hong Shen,2017,10.3390/w9090614,own-SHM,11,,,empty
332,murray,Ikechukwu Kalu,2024,10.1016/j.jhydrol.2024.132489,mascon,6,,,empty
333,murray,Albert I. J. M. van Dijk,2011,,downstream-use,5,a decrease of 7–8 mm y-1 (50–60 km3 y-1) was estimated from GRACE,depleting,regex
334,murray,Tongqing Li,2019,10.1051/e3sconf/201913101067,mascon,4,GWS variations shows an increasing trend with a rate of 1.19 ± 0.41 mm/year,recovering,regex
336,murray,Kevin Fleming,2010,,own-SHM,1,loss of groundwater from this region of the order of 104 km3 between 2001 and 2007,depleting,regex
337,murray,Stefanie Schmid,2010,10.18419/opus-3838,own-SHM,0,"a severe drought is detected, which appeared in 2006/07",depleting,manual-override
338,murray,C. C. Carabajal,2009,,mascon,0,decadal drought in the Murray-Darling river basin,depleting,manual-override
339,murray,Marc Leblanc,2008,,own-SHM,0,significant decrease of water mass versus time of ~100 cubic km,depleting,regex
340,murray,Ikechukwu Kalu,2025,10.1016/j.ejrh.2025.102832,mascon,0,upward groundwater trend of 0.32 mm/month between 2024 and 2029,recovering,manual-override
341,murray-darling,Maike Schumacher,2025,10.1038/s41598-025-01938-8,own-SHM,3,17% due to water extraction for irrigation,depleting,manual-override
343,north_china_plain,Wei Feng,2013,10.1002/wrcr.20192,own-SHM,838,groundwater depletion rate of 2.2 ± 0.3 cm/yr (8.3 ± 1.1 km³/yr) from 2003 to 2010,depleting,regex
344,north_china_plain,Zhiyong Huang,2015,10.1002/2014gl062498,own-SHM,265,GWS in PP declines faster (46.5 ± 6.8 mm/yr) than that in ECP (16.9 ± 1.9 mm/yr),depleting,regex
345,north_china_plain,Xinxin Wang,2020,10.1038/s41467-020-17103-w,downstream-use,249,"extensive and continued losses of TWS, together with small to moderate changes of SWA in North China, indicate long-term water stress in the region",depleting,regex
346,north_china_plain,Wei Feng,2018,10.3390/rs10050674,own-SHM,209,GRACE detects a significant GWS depletion rate of 7.2 ± 1.1 km3/yr in the North China Plain (NCP) during 2002–2014,depleting,regex
347,north_china_plain,Yun Pan,2016,10.1002/2016gl071287,own-SHM,195,,,empty
348,north_china_plain,Fei Wang,2020,10.1016/j.jhydrol.2020.124849,mascon,167,groundwater depletion at a rate of approximately 4 km3/yr since the 1960s,depleting,regex
349,north_china_plain,Wenjie Yin,2018,10.1029/2017jd027468,downstream-use,161,,,empty
350,north_china_plain,X. Mo,2016,10.5194/nhess-16-469-2016,downstream-use,97,TWS decreased linearly in the Huai River basin (−0.56 cm yr−1),depleting,regex
351,north_china_plain,Qiuhong Tang,2013,10.1002/grl.50790,downstream-use,94,groundwater depletion rate of -14 to -8.4 mm yr-1 in the North China Plain,depleting,regex
352,north_china_plain,Julian Koch,2020,10.1029/2020wr027413,own-SHM,88,GRACE-based TWSA decreasing trend of -11.8 mm yr-1,depleting,regex
353,north_china_plain,JP Moiwo,2009,10.4314/wsa.v35i5.49192,downstream-use,82,storage loss in the range of 12.72 to 23.76 mm/yr,depleting,regex
354,north_china_plain,Natthachet Tangdamrongsub,2018,10.3390/rs10030483,own-SHM,73,"groundwater depletion detected in Victoria, Perth Basin, and North China Plain",depleting,regex
355,north_china_plain,Yulong Zhong,2019,10.3390/rs11243050,mascon,70,human-induced water depletion rate of -12.87 ± 1.07 mm/yr,depleting,regex
356,north_china_plain,Shoaib Ali,2023,10.1016/j.scitotenv.2023.168239,mascon,69,GWSA decreased by -17.55 ± 7.19 mm/yr,depleting,regex
357,north_china_plain,Hong Shen,2014,10.1080/02626667.2014.916406,own-SHM,68,groundwater depletion rate of 17.0 ± 4.3 mm year-1 (5.5 ± 1.4 km3 year-1) from GRGS_RL02,depleting,regex
358,north_china_plain,Shuang Yi,2016,10.1002/2015jb012608,own-SHM,68,"mass loss in Huang-Huai-Hai-Liao River Basin (-10.2 ± 0.9 Gt/yr), Brahmaputra-Nujiang-Lancang River Basin (-15.0 ± 1.1 Gt/yr), and Tienshan Mountain (-4.1 ± 0.3 Gt/yr)",depleting,regex
359,north_china_plain,Linsong Wang,2017,10.5194/hess-21-2905-2017,own-SHM,61,"TWS loss rate 3.39 cm/yr (2003-2009), GWS loss rate 2.49 cm/yr (2003-2009)",depleting,regex
360,north_china_plain,Jun Liu,2021,10.1016/j.jhydrol.2021.126933,mascon,59,TWS declined significantly over the past decades (−1.04 ± 0.05 cm/yr in 2004 to 2020),depleting,regex
361,north_china_plain,Yi Xu,2021,10.1016/j.jag.2021.102560,mascon,57,average decline rate of 12.46 mm/yr,depleting,regex
362,north_china_plain,Li‐Ling Chang,2020,10.1029/2020wr027102,own-SHM,56,drylands lost ~15.9 ± 9.1 mm of water,depleting,regex
363,north_china_plain,Wanqiu Li,2019,10.3390/s19194144,own-SHM,54,,,empty
364,north_china_plain,Jiming Guo,2016,10.3390/s16091495,own-SHM,51,groundwater decreases at a rate of 5.3 mm/year (in terms of EWH),depleting,regex
365,north_china_plain,Wenjie Yin,2020,10.1016/j.jhydrol.2020.125348,downstream-use,50,groundwater depletion,depleting,regex
367,north_china_plain,Hao‐jie Xu,2021,10.1016/j.wace.2021.100393,mascon,47,"TWS decreased in all seasons across arid, semi-arid and sub-humid regions",depleting,regex
368,north_china_plain,Wenjie Yin,2017,10.1155/2017/8254824,downstream-use,46,mean annual depletion rate of groundwater storage in the Northern China was approximately 1.70 billion m3 yr−1 from 2003 to 2012,depleting,regex
369,north_china_plain,Youzhe Su,2020,10.3390/s20030922,mascon,44,GWS depleted at a rate of -1.14 ± 0.89 cm/y,depleting,regex
370,north_china_plain,Renli Liu,2014,10.3390/s141019861,own-SHM,43,groundwater depletion rate of 2.26 ± 0.3 cm/year from 2003 to 2010,depleting,regex
371,north_china_plain,Renli Liu,2018,10.3390/rs10020259,own-SHM,43,groundwater depletion in NCP has slowed in recent years,depleting,regex
372,north_china_plain,Renli Liu,2022,10.1016/j.ejrh.2022.101085,own-SHM,43,GWS depleted at rates of −1.66 ± 0.17 cm/yr and −2.76 ± 0.55 cm/yr for subperiods of 2003–2014 and 2015–2020,depleting,regex
373,north_china_plain,Qingping Liu,2024,10.1016/j.ecolind.2024.111925,mascon,43,the average rate of decline in the GWSA is −11.97 mm/a,depleting,regex
374,north_china_plain,Juana P. Moiwo,2012,10.1002/hyp.9276,own-SHM,41,storage loss that is on the average of 16.8 mm/yr,depleting,regex
375,north_china_plain,Gangqiang Zhang,2020,10.3390/s21010046,downstream-use,41,,,empty
376,north_china_plain,Jianxin Zhang,2020,10.3390/rs12050845,mascon,40,The largest decrease was –7.98 cm/a in southeastern Tibet.,depleting,regex
377,north_china_plain,Xiaoli Su,2011,10.1007/s11430-011-4280-4,own-SHM,38,TWS declining at a rate of -1.1 cm/yr,depleting,regex
378,north_china_plain,Xueliang Zhang,2022,10.1016/j.jhydrol.2022.127799,own-SHM,38,shallow GWS depletion rate of -131 ± 25 mm/a from GRACE,depleting,regex
379,north_china_plain,Juana P. Moiwo,2011,10.1080/02626667.2011.553617,own-SHM,36,overall storage loss in the basin,depleting,regex
380,north_china_plain,Longqun Zheng,2020,10.3390/rs12132151,mascon,35,"GWS depleted in NCP at -17.2 ± 0.8 mm/yr, increased in NECP at 2.3 ± 0.7 mm/yr",mixed,regex
381,north_china_plain,Yifan Shen,2021,10.1109/access.2021.3049118,own-SHM,31,,,empty
382,north_china_plain,Jianhua Wang,2014,10.1155/2014/578372,downstream-use,30,"multiyear drought began in mid-2007, extreme drought events at end of 2007, end of 2009, end of 2010, and middle of 2012",depleting,regex
383,north_china_plain,Shuya Li,2019,10.1016/j.geog.2019.05.002,own-SHM,29,,,empty
384,north_china_plain,Yi Guo,2022,10.3390/su14031108,mascon,26,"mean rate of 1.88 cm·yr−1, equivalent to 6 billion m3·yr−1",depleting,regex
385,north_china_plain,Yulong Zhong,2023,10.1029/2022wr033261,mascon,26,"TWS shows a significant decrease in the Tien Shan Mountains, the southeastern part of the Tibetan Plateau, and the North China Plain",depleting,regex
386,north_china_plain,Fangfang Liu,2021,10.3390/w13172378,downstream-use,25,"groundwater depletion rates of -10.09 ± 0.94, -10.05 ± 1.05, and -4.91 ± 0.28 mm y-1 in North China, Loess Plateau, and Northwest China, respectively",depleting,regex
387,north_china_plain,Chunxiu Shao,2023,10.3390/atmos14020250,mascon,25,GWSA in North China Plain decreased at -7.35 mm/a,depleting,regex
388,north_china_plain,Meixia Lv,2020,10.1175/jhm-d-20-0095.1,mascon,24,TWS depletion in the Hai River basin and North China Plain,depleting,regex
389,north_china_plain,Zhiwei Chen,2021,10.3390/rs13091851,own-SHM,23,"TWS of Yellow, Haihe, Huaihe, and Southwestern River Basins decreasing; most drastic TWS loss in Haihe River Basin",depleting,regex
390,north_china_plain,Yuyue Xu,2023,10.1029/2022wr034365,downstream-use,21,TWSA decreased at -8.84 ± 0.37 mm/yr from 2002 to 2020,depleting,regex
391,north_china_plain,Congcong Li,2023,10.1029/2022jd038074,mascon,20,"TWS decreased in Hai River, Yellow River, and Huai River basins; increased in other basins",mixed,regex
392,north_china_plain,Peijun Li,2021,10.1016/j.ejrh.2021.100955,mascon,17,"SGWS decreases faster before 2009 and then reduces slower and keeps stable while DGWS decreases faster after 2009, especially after 2012.",depleting,regex
393,north_china_plain,Yifan Shen,2022,10.3390/rs14225683,mascon,17,,,empty
394,north_china_plain,Jinghua Xiong,2022,10.1111/gwat.13253,downstream-use,16,groundwater depletion at a significant rate of -17.09 ± 1.80 (SH) and -17.87 ± 1.65 (mascon) mm/a during 2004 to 2014,depleting,regex
395,north_china_plain,Bowen Zhu,2018,10.2166/nh.2018.087,downstream-use,15,water storage deficit of up to 25 km3 (~22 mm),depleting,regex
396,north_china_plain,Yuhao Xiong,2025,10.1029/2024wr038996,own-SHM,11,"Groundwater depletion rate in the North China Plain is 2.43 ± 0.18 cm/yr, equivalent to 3.35 ± 0.25 Gt/yr",depleting,regex
397,north_china_plain,Jia Huang,2023,10.3390/atmos14060961,mascon,10,,,empty
398,north_china_plain,Junchao Zhang,2023,10.3390/rs15133264,mascon,10,groundwater storage decline of 1.89 cm/yr from 2003 to 2020,depleting,regex
399,north_china_plain,Yu Yin,2023,10.1007/s00704-023-04441-0,mascon,9,,,empty
400,north_china_plain,Tingye Tao,2023,10.1134/s0097807823010153,own-SHM,8,GWS decline rate of -2.94 cm/year,depleting,regex
401,north_china_plain,Peijun Li,2023,10.1016/j.ejrh.2023.101528,mascon,8,,,empty
402,north_china_plain,Zhao-huan Huang,2025,10.26599/jgse.2025.9280040,mascon,7,groundwater storage decline rate of -18.69 mm/a in the North China Plain from 2002 to 2022,depleting,regex
403,north_china_plain,LI Zhen,2018,10.11947/j.agcs.2018.20170171,own-SHM,6,terrestrial water storage trend of (-2.0±0.6) mm/a over the study period,depleting,regex
404,north_china_plain,Huixiang Li,2024,10.1029/2023wr035210,own-SHM,6,−32.6 ± 1.3 mm/yr (−4.6 ± 0.2 km³/yr) in NCP,depleting,regex
405,north_china_plain,Zhi Ming Zhu,2024,10.1109/jstars.2024.3507853,own-SHM,6,,,empty
